event,h,arm,n,pos,ap,auc,calib
STAR_PLUS_ELITE,3,mcw20_xcal,42119,44,0.04056263873077536,0.942328904013396,0.9762273593497192
STAR_PLUS_ELITE,3,mcw5,42119,44,0.054783611742070366,0.9515632258413007,1.1469678534776904
STAR_PLUS_ELITE,3,mcw5_xcal,42119,44,0.036850169696171484,0.9486838978015448,0.9709639536568566
STAR_PLUS_ELITE,3,mcw1,42119,44,0.049223698336869244,0.9472492302706207,0.8291138581116684
STAR_PLUS_ELITE,3,mcw1_xcal,42119,44,0.03743259430945846,0.9430162588451358,0.9849209168266867
STAR_PLUS_ELITE,3,spw10,42119,44,0.022432256298100618,0.9295265489115756,1.2390728319005575
STAR_PLUS_ELITE,3,spw10_xcal,42119,44,0.014594304449291138,0.9292251390914493,0.9849114839021105
STAR_PLUS_ELITE,3,cond,42119,44,0.05417103003192792,0.9519094690217685,1.2007323929865379
STAR_PLUS_ELITE,3,cond_xcal,42119,44,0.04062214331804157,0.9501253173445687,0.9888254840874046
STAR_PLUS_ELITE,3,rank,42119,44,0.020927318879786983,0.9282909306973478,2.5808073635168007
STAR_PLUS_ELITE,3,rank_xcal,42119,44,0.015371617545754205,0.9298163452708907,1.0413572288019544
STAR_PLUS_ELITE,6,deployed_4x,35279,153,0.13224661761549966,0.9491023724489133,0.774079373971208
STAR_PLUS_ELITE,6,joint_small,35279,153,0.07582123023109791,0.9308097757503427,0.8029295470355553
STAR_PLUS_ELITE,6,joint_small_xcal,35279,153,0.06616798490694996,0.9277022885678783,0.9925033380295175
STAR_PLUS_ELITE,6,mcw100,35279,153,0.08250970773680816,0.9372796680782052,0.8153880328545651
STAR_PLUS_ELITE,6,mcw100_xcal,35279,153,0.06933595307312573,0.9342020453724202,0.9884832580149927
STAR_PLUS_ELITE,6,mcw20,35279,153,0.0991672917694939,0.935229346155893,0.7498593287286804
STAR_PLUS_ELITE,6,mcw20_xcal,35279,153,0.08905905724150284,0.9261961327642523,1.000477337937493
STAR_PLUS_ELITE,6,mcw5,35279,153,0.10558702983922252,0.9315538757020013,0.7102039672930426
