snap_offset,bucket,event,target_rate,score_threshold,k,realized,rate,base_rate,lift,pct_of_cohort,achievable
2,R4-R10,TOP_100_PROSPECT,0.1,6.502484150939188,10,1,0.1,0.007194244604316547,13.9,0.03597122302158273,True
2,R4-R10,TOP_100_PROSPECT,0.25,nan,0,0,nan,0.007194244604316547,nan,nan,False
2,R4-R10,TOP_100_PROSPECT,0.5,nan,0,0,nan,0.007194244604316547,nan,nan,False
2,R4-R10,TOP_100_PROSPECT,0.75,nan,0,0,nan,0.007194244604316547,nan,nan,False
2,R4-R10,MLB_DEBUT,0.05,-0.04637657603872575,279,64,0.22939068100358423,0.22939068100358423,1.0,1.0,True
2,R4-R10,MLB_DEBUT,0.1,-0.04637657603872575,279,64,0.22939068100358423,0.22939068100358423,1.0,1.0,True
2,R4-R10,MLB_DEBUT,0.25,0.37683844640618397,256,64,0.25,0.22939068100358423,1.08984375,0.9175627240143369,True
2,R4-R10,MLB_DEBUT,0.5,4.354378252432303,64,32,0.5,0.22939068100358423,2.1796875,0.22939068100358423,True
2,R4-R10,MLB_DEBUT,0.75,5.707205500202525,20,15,0.75,0.22939068100358423,3.26953125,0.07168458781362007,True
2,R4-R10,ESTABLISHED_MLB,0.05,-0.04637657603872575,279,15,0.053763440860215055,0.053763440860215055,1.0,1.0,True
2,R4-R10,ESTABLISHED_MLB,0.1,2.025537347681615,150,15,0.1,0.053763440860215055,1.86,0.5376344086021505,True
2,R4-R10,ESTABLISHED_MLB,0.25,6.083999463579495,12,3,0.25,0.053763440860215055,4.65,0.043010752688172046,True
2,R4-R10,ESTABLISHED_MLB,0.5,nan,0,0,nan,0.053763440860215055,nan,nan,False
2,R4-R10,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.053763440860215055,nan,nan,False
2,R4-R10,STAR_PLUS_ELITE,0.05,4.404658402206825,60,3,0.05,0.010752688172043012,4.6499999999999995,0.21505376344086022,True
2,R4-R10,STAR_PLUS_ELITE,0.1,5.707205500202525,20,2,0.1,0.010752688172043012,9.299999999999999,0.07168458781362007,True
2,R4-R10,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.010752688172043012,nan,nan,False
2,R4-R10,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.010752688172043012,nan,nan,False
