event,yip,slab,slab_lo,slab_hi,n,tp,rate,base_rate,lift,score_lo,score_hi,score_mean
ESTABLISHED_MLB,7,bottom 50%,50.0,100.0,1483,0,0.0,0.0003372681281618887,0.0,9.644246165407822e-05,0.00018830629414878786,0.00015256914775818586
ESTABLISHED_MLB,8,0.0-0.5%,0.0,0.5,14,1,0.07142857142857142,0.0003614022406938923,197.64285714285714,0.006161836441606283,0.04441782087087631,0.013838782906532288
ESTABLISHED_MLB,8,0.5-1.0%,0.5,1.0,14,0,0.0,0.0003614022406938923,0.0,0.0038399037439376116,0.006032044067978859,0.004738027695566416
ESTABLISHED_MLB,8,1.0-1.5%,1.0,1.5,14,0,0.0,0.0003614022406938923,0.0,0.0031178840436041355,0.0038206486497074366,0.0033946633338928223
ESTABLISHED_MLB,8,1.5-2.0%,1.5,2.0,13,0,0.0,0.0003614022406938923,0.0,0.0025395366828888655,0.0030362384859472513,0.002819574438035488
ESTABLISHED_MLB,8,2-3%,2.0,3.0,28,0,0.0,0.0003614022406938923,0.0,0.0019810728263109922,0.002498847432434559,0.002221787814050913
ESTABLISHED_MLB,8,3-4%,3.0,4.0,28,0,0.0,0.0003614022406938923,0.0,0.0016928681870922446,0.0019431000109761953,0.001830852241255343
ESTABLISHED_MLB,8,4-5%,4.0,5.0,27,0,0.0,0.0003614022406938923,0.0,0.0015052073867991567,0.0016918352339416742,0.0016003228956833482
ESTABLISHED_MLB,8,5-10%,5.0,10.0,139,0,0.0,0.0003614022406938923,0.0,0.0007762160967104137,0.0015008149202913046,0.0010811924003064632
ESTABLISHED_MLB,8,10-20%,10.0,20.0,276,0,0.0,0.0003614022406938923,0.0,0.0003141472989227623,0.0007745007751509547,0.0005066642188467085
ESTABLISHED_MLB,8,20-50%,20.0,50.0,831,0,0.0,0.0003614022406938923,0.0,0.00017700958414934576,0.0003123128553852439,0.00022074865410104394
ESTABLISHED_MLB,8,bottom 50%,50.0,100.0,1383,0,0.0,0.0003614022406938923,0.0,0.00010799301526276395,0.0001769805676303804,0.00015072200039867312
