========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17_prod.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  R4-R10        0-10%    28   17  60.7%   2.65    +5.495    +8.143     +6.294
  R4-R10       10-20%    28   11  39.3%   1.71    +4.434    +5.463     +4.881
  R4-R10       20-30%    28    8  28.6%   1.25    +3.636    +4.426     +4.088
  R4-R10       30-40%    28   12  42.9%   1.87    +2.978    +3.632     +3.294
  R4-R10       40-50%    28   10  35.7%   1.56    +2.222    +2.864     +2.560
  R4-R10       50-60%    27    2   7.4%   0.32    +1.749    +2.218     +1.978
  R4-R10       60-70%    28    4  14.3%   0.62    +1.178    +1.726     +1.506
  R4-R10       70-80%    28    0   0.0%   0.00    +0.834    +1.153     +1.014
  R4-R10       80-90%    28    0   0.0%   0.00    +0.439    +0.834     +0.612
  R4-R10       90-95%    14    0   0.0%   0.00    +0.215    +0.437     +0.329
  R4-R10       95-99%    11    0   0.0%   0.00    +0.045    +0.213     +0.149
  R4-R10      99-100%     3    0   0.0%   0.00    -0.046    +0.027     +0.002
  R10+          0-10%   118   49  41.5%   6.18    +2.181    +7.683     +3.504
  R10+         10-20%   117   17  14.5%   2.16    +1.343    +2.180     +1.740
  R10+         20-30%   118    5   4.2%   0.63    +0.926    +1.341     +1.113
  R10+         30-40%   117    2   1.7%   0.25    +0.647    +0.925     +0.778
  R10+         40-50%   118    1   0.8%   0.13    +0.442    +0.643     +0.537
  R10+         50-60%   118    0   0.0%   0.00    +0.247    +0.440     +0.340
  R10+         60-70%   117    0   0.0%   0.00    +0.114    +0.247     +0.176
  R10+         70-80%   118    2   1.7%   0.25    +0.031    +0.114     +0.053
  R10+         80-90%   117    1   0.9%   0.13    +0.005    +0.031     +0.011
