event,snap_offset,mean_fwd_years,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%
ESTABLISHED_MLB,8,7.26401384083045,2890,0,0.0,0.011046166405174758,nan,nan,nan,0.0010627940686905371,nan,0.011046166405174758,2.7947550940154997e-09,nan,nan,0,nan,nan,0,nan,nan,0
ESTABLISHED_MLB,9,6.766407119021134,2697,0,0.0,0.009848917846303963,nan,nan,nan,0.0007819094361554059,nan,0.009848917846303965,7.807687607552793e-08,nan,nan,0,nan,nan,0,nan,nan,0
ESTABLISHED_MLB,10,6.292233787029624,2498,0,0.0,0.009588347780918629,nan,nan,nan,0.0007081970194117962,nan,0.009588347780918629,3.667455596989555e-07,nan,nan,0,nan,nan,0,nan,nan,0
STAR_PLUS_ELITE,0,14.638303927148549,3514,32,0.00910643141718839,0.004692387321776349,0.8573287622056289,0.7970440600297741,0.9101309942549106,0.009169390945716893,-0.01616740198105937,0.0055093561471354505,4.664357598160862e-05,15.687499999999998,0.15625,35,4.367542613636363,0.21875,176,5.944266381766382,0.59375,351
STAR_PLUS_ELITE,1,13.605331040412725,3489,24,0.006878761822871883,0.0038847470161146765,0.8673039923039922,0.8245797466072124,0.9076093041533161,0.006994430741098305,-0.023858246001795758,0.003623752932666628,0.0035181299631652507,4.1535714285714285,0.041666666666666664,35,0.8354885057471264,0.041666666666666664,174,5.831661891117479,0.5833333333333334,349
STAR_PLUS_ELITE,2,12.585887796414113,3458,20,0.00578368999421631,0.006708502525269245,0.8579842931937173,0.7724974428718737,0.9347631609579209,0.005654636336427745,0.01662584617760965,0.0016998012634258323,0.46665868994177817,34.580000000000005,0.35,35,7.995375722543352,0.4,173,3.997687861271676,0.4,346
STAR_PLUS_ELITE,3,11.579273693534102,3387,14,0.004133451431945674,0.012013703036411118,0.8601499301173182,0.7753040117391318,0.9377930250352579,0.007352821659822302,-0.7862409804683832,0.007880251604465444,1.6188050500076656e-07,21.346638655462186,0.21428571428571427,34,8.589180050718513,0.42857142857142855,169,5.709228824273072,0.5714285714285714,339
STAR_PLUS_ELITE,4,10.59629404617254,3292,8,0.002430133657351154,0.019020571835309825,0.851591047503045,0.7278447695876334,0.9393370113290502,0.01161661262332091,-3.791881005810798,0.016590438177958668,0.0,0.0,0.0,33,4.987878787878788,0.25,165,2.501519756838906,0.25,329
STAR_PLUS_ELITE,5,9.634321372854915,3205,2,0.0006240249609984399,0.022004690366187858,0.7294723696534499,0.592400124843945,0.8639052300765161,0.012139465584775244,-18.465640645246783,0.021380665405189417,0.0,0.0,0.0,32,0.0,0.0,160,0.0,0.0,320
STAR_PLUS_ELITE,6,8.653054764165875,3159,1,0.00031655587211142766,0.02605355099444935,0.8163394553514882,0.8052225640097711,0.829131098038177,0.01330615471934361,-41.047453126601006,0.025736995122337923,0.0,0.0,0.0,32,0.0,0.0,158,0.0,0.0,316
STAR_PLUS_ELITE,7,7.6885403329065305,3124,1,0.0003201024327784891,0.029181282785169113,0.8754402817803394,0.8629522894652577,0.8868796029458854,0.014742477919051982,-45.07024821765157,0.028861180352390624,0.0,0.0,0.0,31,0.0,0.0,156,0.0,0.0,312
STAR_PLUS_ELITE,8,7.26401384083045,2890,1,0.00034602076124567473,0.03056886890558692,0.8961578400830738,0.885908065170304,0.9068559556786704,0.014815286160980322,-41.83099741956518,0.030222848144341247,0.0,0.0,0.0,29,0.0,0.0,144,0.0,0.0,289
STAR_PLUS_ELITE,9,6.766407119021134,2697,0,0.0,0.0305237939235499,nan,nan,nan,0.013791833168339972,nan,0.030523793923549897,0.0,nan,nan,0,nan,nan,0,nan,nan,0
STAR_PLUS_ELITE,10,6.292233787029624,2498,0,0.0,0.030479158137405205,nan,nan,nan,0.013180015588645415,nan,0.030479158137405208,0.0,nan,nan,0,nan,nan,0,nan,nan,0
