========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17_prod.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  R1           75%         -     -    -      -      -        -
  R2-R3         5%    +5.949    40    2   5.0%   2.45   40.82%
  R2-R3        10%    +7.772    20    2  10.0%   4.90   20.41%
  R2-R3        25%         -     -    -      -      -        -
  R2-R3        50%         -     -    -      -      -        -
  R2-R3        75%         -     -    -      -      -        -
  R4-R10        5%    +3.063    60    3   5.0%   4.65   21.51%
  R4-R10       10%    +6.563    30    3  10.0%   9.30   10.75%
  R4-R10       25%         -     -    -      -      -        -
  R4-R10       50%         -     -    -      -      -        -
  R4-R10       75%         -     -    -      -      -        -
  R10+          5%    +5.723    20    1   5.0%  19.60    1.70%
  R10+         10%    +7.848    10    1  10.0%  39.20    0.85%
  R10+         25%         -     -    -      -      -        -
  R10+         50%         -     -    -      -      -        -
  R10+         75%         -     -    -      -      -        -
  IFA           5%    +6.899    20    1   5.0%  13.20    1.08%
  IFA          10%    +8.221    10    1  10.0%  26.40    0.54%
  IFA          25%         -     -    -      -      -        -
  IFA          50%         -     -    -      -      -        -
  IFA          75%         -     -    -      -      -        -
