player_id,season_year,level,org,age_during_season,pa,avg,obp,slg,woba,iso,k_pct,bb_pct,babip,home_runs,stolen_bases,ip,era,fip,whip,k9,bb9,hr9,velo_avg,primary_position,stats_type,pulled_at
draft_2023_aj_shaver_r17p523,2024,AAA,LHV,,10,0.222,0.3,0.222,,0.0,0.5,0.1,0.5,0,1,0.0,,,,,,,,OF,batting,2026-07-28T13:03:30
ifa_678926,2024,AAA,LHV,,175,0.19,0.24,0.276,,0.086,0.36,0.045714285714285714,0.286,3,1,0.0,,,,,,,,OF,batting,2026-07-28T13:03:30
draft_2014_aramis_garcia_r2p52,2024,AAA,LHV,,278,0.159,0.216,0.279,,0.12,0.35611510791366907,0.046762589928057555,0.217,8,6,0.0,,,,,,,,C,batting,2026-07-28T13:03:30
ifa_691897,2024,AAA,LHV,,7,0.167,0.286,0.167,,0.0,0.2857142857142857,0.14285714285714285,0.25,0,1,0.0,,,,,,,,SS,batting,2026-07-28T13:03:30
draft_2021_ethan_wilson_r2p49,2024,AAA,LHV,,21,0.15,0.15,0.3,,0.15,0.23809523809523808,0.0,0.143,1,1,0.0,,,,,,,,OF,batting,2026-07-28T13:03:30
draft_2018_josh_breaux_r2p61,2024,AAA,LHV,,14,0.154,0.214,0.231,,0.077,0.21428571428571427,0.07142857142857142,0.2,0,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:30
ifa_608422,2024,AAA,LHV,,63,0.143,0.226,0.161,,0.018,0.19047619047619047,0.06349206349206349,0.182,0,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:30
ifa_624641,2024,AAA,LHV,,9,0.111,0.111,0.111,,0.0,0.1111111111111111,0.0,0.125,0,0,0.0,,,,,,,,LF,batting,2026-07-28T13:03:30
draft_2022_cade_fergus_r13p392,2024,AAA,LHV,,3,0.0,0.0,0.0,,0.0,0.6666666666666666,0.0,,0,0,0.0,,,,,,,,OF,batting,2026-07-28T13:03:30
ifa_686766,2024,AAA,LHV,,3,0.0,0.0,0.0,,0.0,0.6666666666666666,0.0,0.0,0,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:30
draft_2018_nick_madrigal_r1p4,2024,AAA,IOW,,3,1.0,1.0,2.0,,1.0,0.0,0.3333333333333333,1.0,0,0,0.0,,,,,,,,3B,batting,2026-07-28T13:03:31
draft_2012_patrick_wisdom_r1p52,2024,AAA,IOW,,36,0.407,0.528,0.889,,0.482,0.3333333333333333,0.2222222222222222,0.615,3,0,0.0,,,,,,,,3B,batting,2026-07-28T13:03:31
draft_2011_curt_casali_r10p317,2024,AAA,IOW,,88,0.362,0.489,0.551,,0.189,0.18181818181818182,0.17045454545454544,0.442,2,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:31
draft_2012_tomas_nido_r8p260,2024,AAA,IOW,,2,0.5,0.5,0.5,,0.0,0.0,0.0,0.5,0,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:31
draft_2023_matt_shaw_r1p13,2024,AAA,IOW,,152,0.298,0.395,0.534,,0.236,0.19736842105263158,0.1118421052631579,0.34,7,6,0.0,,,,,,,,RF,batting,2026-07-28T13:03:31
ifa_673548,2024,AAA,IOW,,6,0.4,0.5,0.4,,0.0,0.16666666666666666,0.16666666666666666,0.5,0,1,0.0,,,,,,,,RF,batting,2026-07-28T13:03:31
ifa_678706,2024,AAA,IOW,,28,0.346,0.393,0.5,,0.154,0.35714285714285715,0.07142857142857142,0.533,1,0,0.0,,,,,,,,SS,batting,2026-07-28T13:03:31
draft_2012_david_bote_r18p554,2024,AAA,IOW,,123,0.259,0.341,0.546,,0.287,0.14634146341463414,0.0975609756097561,0.25,7,0,0.0,,,,,,,,3B,batting,2026-07-28T13:03:31
draft_2018_jake_slaughter_r18p548,2024,AAA,IOW,,130,0.297,0.392,0.486,,0.189,0.24615384615384617,0.11538461538461539,0.373,5,10,0.0,,,,,,,,SS,batting,2026-07-28T13:03:31
ifa_672744,2024,AAA,IOW,,283,0.243,0.336,0.514,,0.271,0.303886925795053,0.11307420494699646,0.292,18,5,0.0,,,,,,,,LF,batting,2026-07-28T13:03:31
ifa_682634,2024,AAA,IOW,,148,0.292,0.378,0.469,,0.177,0.2905405405405405,0.11486486486486487,0.402,5,7,0.0,,,,,,,,DH,batting,2026-07-28T13:03:31
draft_2020_owen_caissie_r2p45,2024,AAA,IOW,,549,0.278,0.375,0.472,,0.194,0.28415300546448086,0.12932604735883424,0.375,19,11,0.0,,,,,,,,RF,batting,2026-07-28T13:03:31
draft_2018_brennen_davis_r2p62,2024,AAA,IOW,,181,0.214,0.359,0.469,,0.255,0.23204419889502761,0.1270718232044199,0.213,11,1,0.0,,,,,,,,CF,batting,2026-07-28T13:03:31
draft_2020_hayden_cantrelle_r5p151,2024,AAA,IOW,,160,0.273,0.396,0.424,,0.151,0.3,0.14375,0.407,3,9,0.0,,,,,,,,2B,batting,2026-07-28T13:03:31
draft_2020_pete_crow-armstrong_r1p19,2024,AAA,IOW,,117,0.255,0.299,0.509,,0.254,0.27350427350427353,0.05128205128205128,0.315,5,10,0.0,,,,,,,,CF,batting,2026-07-28T13:03:31
ifa_694208,2024,AAA,IOW,,285,0.281,0.34,0.454,,0.173,0.21052631578947367,0.08070175438596491,0.33,10,0,0.0,,,,,,,,DH,batting,2026-07-28T13:03:31
draft_2017_luis_vazquez_r14p435,2024,AAA,IOW,,273,0.263,0.347,0.432,,0.169,0.21978021978021978,0.09157509157509157,0.32,8,1,0.0,,,,,,,,SS,batting,2026-07-28T13:03:31
ifa_665482,2024,AAA,IOW,,20,0.316,0.35,0.421,,0.105,0.2,0.0,0.4,0,0,0.0,,,,,,,,CF,batting,2026-07-28T13:03:31
draft_2009_trayce_thompson_r2p61,2024,AAA,IOW,,179,0.24,0.335,0.429,,0.189,0.30726256983240224,0.12290502793296089,0.319,7,3,0.0,,,,,,,,RF,batting,2026-07-28T13:03:31
draft_2016_matt_mervis_r39p1174,2024,AAA,IOW,,350,0.235,0.329,0.434,,0.199,0.3,0.10571428571428572,0.301,15,4,0.0,,,,,,,,1B,batting,2026-07-28T13:03:31
draft_2019_chase_strumpf_r2p64,2024,AAA,IOW,,326,0.237,0.343,0.414,,0.177,0.34662576687116564,0.13496932515337423,0.351,12,1,0.0,,,,,,,,3B,batting,2026-07-28T13:03:31
draft_2021_james_triantos_r2p56,2024,AAA,IOW,,94,0.302,0.351,0.384,,0.082,0.1702127659574468,0.07446808510638298,0.366,0,9,0.0,,,,,,,,2B,batting,2026-07-28T13:03:31
ifa_645305,2024,AAA,IOW,,148,0.24,0.338,0.388,,0.148,0.1891891891891892,0.12162162162162163,0.286,3,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:31
draft_2019_bryce_windham_r32p972,2024,AAA,IOW,,260,0.26,0.337,0.379,,0.119,0.21153846153846154,0.1,0.333,2,10,0.0,,,,,,,,2B,batting,2026-07-28T13:03:31
ifa_678285,2024,AAA,IOW,,42,0.205,0.262,0.436,,0.231,0.3333333333333333,0.07142857142857142,0.261,2,0,0.0,,,,,,,,SS,batting,2026-07-28T13:03:31
ifa_444482,2024,AAA,IOW,,85,0.217,0.341,0.348,,0.131,0.15294117647058825,0.1411764705882353,0.232,2,1,0.0,,,,,,,,LF,batting,2026-07-28T13:03:31
draft_2018_cole_roederer_r2p77,2024,AAA,IOW,,188,0.216,0.319,0.37,,0.154,0.28191489361702127,0.11702127659574468,0.286,5,4,0.0,,,,,,,,OF,batting,2026-07-28T13:03:31
draft_2019_darius_hill_r20p612,2024,AAA,IOW,,392,0.267,0.323,0.355,,0.088,0.17857142857142858,0.07908163265306123,0.322,2,3,0.0,,,,,,,,OF,batting,2026-07-28T13:03:31
draft_2021_bj_murray_jr_r15p454,2024,AAA,IOW,,353,0.204,0.32,0.348,,0.144,0.24362606232294617,0.141643059490085,0.245,11,10,0.0,,,,,,,,3B,batting,2026-07-28T13:03:31
ifa_676332,2024,AAA,IOW,,68,0.194,0.242,0.403,,0.209,0.2647058823529412,0.058823529411764705,0.2,4,1,0.0,,,,,,,,C,batting,2026-07-28T13:03:31
draft_2016_miles_mastrobuoni_r14p420,2024,AAA,IOW,,244,0.218,0.305,0.329,,0.111,0.18032786885245902,0.11065573770491803,0.256,4,15,0.0,,,,,,,,3B,batting,2026-07-28T13:03:31
draft_2014_kevin_padlo_r5p143,2024,AAA,IOW,,20,0.118,0.25,0.353,,0.235,0.45,0.15,0.143,1,0,0.0,,,,,,,,3B,batting,2026-07-28T13:03:31
draft_2011_jake_hager_r1p32,2024,AAA,IOW,,131,0.221,0.269,0.328,,0.107,0.3282442748091603,0.05343511450381679,0.325,2,0,0.0,,,,,,,,SS,batting,2026-07-28T13:03:31
ifa_686766,2024,AAA,IOW,,57,0.18,0.218,0.34,,0.16,0.3684210526315789,0.05263157894736842,0.241,2,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:31
draft_2013_jack_reinheimer_r5p147,2024,AAA,IOW,,109,0.173,0.202,0.25,,0.077,0.22018348623853212,0.03669724770642202,0.213,1,3,0.0,,,,,,,,SS,batting,2026-07-28T13:03:31
ifa_542194,2024,AAA,IOW,,27,0.192,0.222,0.192,,0.0,0.25925925925925924,0.037037037037037035,0.263,0,0,0.0,,,,,,,,1B,batting,2026-07-28T13:03:31
ifa_686977,2024,AAA,IOW,,18,0.133,0.278,0.133,,0.0,0.3333333333333333,0.16666666666666666,0.222,0,1,0.0,,,,,,,,OF,batting,2026-07-28T13:03:31
draft_2020_ed_howard_r1p16,2024,AAA,IOW,,41,0.139,0.205,0.167,,0.028,0.2682926829268293,0.04878048780487805,0.2,0,0,0.0,,,,,,,,SS,batting,2026-07-28T13:03:31
draft_2012_joe_hudson_r6p202,2024,AAA,IOW,,8,0.0,0.143,0.0,,0.0,0.25,0.125,0.0,0,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:31
