player_id,as_of,source,overall_rank,org_rank,list_size,org_rank_1y_ago,org_rank_2y_ago,org_rank_delta_1y,org_rank_delta_2y,mlbam_id,tbc_player_id,team,matched,match_method
ifa_800569,2025-01-01,Baseball America,,19,30,,,,,800569,244339,Arizona Diamondbacks,1,mlbam
ifa_808054,2025-01-01,Baseball America,,20,30,,,,,808054,291351,Arizona Diamondbacks,1,mlbam
draft_2024_ivan_luciano_r2p64,2025-01-01,Baseball America,,21,30,,,,,813930,341574,Arizona Diamondbacks,1,mlbam
draft_2019_blake_walston_r1p26,2025-01-01,Baseball America,,22,30,11,9,-11,-13,686796,222143,Arizona Diamondbacks,1,mlbam
ifa_809109,2025-01-01,Baseball America,,23,30,,,,,809109,220954,Arizona Diamondbacks,1,mlbam
draft_2023_caden_grice_r2p64,2025-01-01,Baseball America,,24,30,14,,-10,,694364,231080,Arizona Diamondbacks,1,mlbam
ifa_806869,2025-01-01,Baseball America,,25,30,25,,0,,806869,291348,Arizona Diamondbacks,1,mlbam
draft_2023_grayson_hitt_r4p112,2025-01-01,Baseball America,,26,30,20,,-6,,694491,229870,Arizona Diamondbacks,1,mlbam
ifa_678489,2025-01-01,Baseball America,,27,30,23,16,-4,-11,678489,216369,Arizona Diamondbacks,1,mlbam
draft_2022_spencer_giesting_r11p318,2025-01-01,Baseball America,,28,30,,,,,801517,230672,Arizona Diamondbacks,1,mlbam
draft_2024_connor_foley_r5p164,2025-01-01,Baseball America,,29,30,,,,,805879,295491,Arizona Diamondbacks,1,mlbam
draft_2024_john_west_r12p374,2025-01-01,Baseball America,,30,30,,,,,802482,229642,Arizona Diamondbacks,1,mlbam
draft_2021_jordan_lawlar_r1p6,2025-01-01,ESPN,28,1,10,1,,0,,691783,230561,Arizona Diamondbacks,1,mlbam
draft_2022_demetrio_crisantes_r7p198,2025-01-01,ESPN,,2,10,,,,,702679,284690,Arizona Diamondbacks,1,mlbam
draft_2021_adrian_del_castillo_r2p67,2025-01-01,ESPN,,3,10,27,,24,,680728,215815,Arizona Diamondbacks,1,mlbam
draft_2023_gino_groover_r2p48,2025-01-01,ESPN,,4,10,16,,12,,694410,230662,Arizona Diamondbacks,1,mlbam
draft_2024_ryan_waldschmidt_r1p31,2025-01-01,ESPN,,5,10,,,,,814439,239410,Arizona Diamondbacks,1,mlbam
draft_2024_slade_caldwell_r1p29,2025-01-01,ESPN,,6,10,,,,,815154,331409,Arizona Diamondbacks,1,mlbam
draft_2023_tommy_troy_r1p12,2025-01-01,ESPN,,7,10,2,,-5,,694371,229473,Arizona Diamondbacks,1,mlbam
ifa_800306,2025-01-01,ESPN,,8,10,4,,-4,,800306,242026,Arizona Diamondbacks,1,mlbam
draft_2022_druw_jones_r1p2,2025-01-01,ESPN,,9,10,3,,-6,,702258,284647,Arizona Diamondbacks,1,mlbam
ifa_700270,2025-01-01,ESPN,,10,10,12,,2,,700270,238263,Arizona Diamondbacks,1,mlbam
draft_2021_jordan_lawlar_r1p6,2025-01-01,MLB Pipeline,11,1,30,1,2,0,1,691783,230561,Arizona Diamondbacks,1,mlbam
draft_2022_demetrio_crisantes_r7p198,2025-01-01,MLB Pipeline,,2,30,,,,,702679,284690,Arizona Diamondbacks,1,mlbam
draft_2024_slade_caldwell_r1p29,2025-01-01,MLB Pipeline,,3,30,,,,,815154,331409,Arizona Diamondbacks,1,mlbam
ifa_700270,2025-01-01,MLB Pipeline,,4,30,15,28,11,24,700270,238263,Arizona Diamondbacks,1,mlbam
draft_2021_adrian_del_castillo_r2p67,2025-01-01,MLB Pipeline,,5,30,,,,,680728,215815,Arizona Diamondbacks,1,mlbam
draft_2024_ryan_waldschmidt_r1p31,2025-01-01,MLB Pipeline,,6,30,,,,,814439,239410,Arizona Diamondbacks,1,mlbam
draft_2022_druw_jones_r1p2,2025-01-01,MLB Pipeline,,7,30,3,3,-4,-4,702258,284647,Arizona Diamondbacks,1,mlbam
draft_2023_tommy_troy_r1p12,2025-01-01,MLB Pipeline,,8,30,2,,-6,,694371,229473,Arizona Diamondbacks,1,mlbam
ifa_800306,2025-01-01,MLB Pipeline,,9,30,6,,-3,,800306,242026,Arizona Diamondbacks,1,mlbam
draft_2023_gino_groover_r2p48,2025-01-01,MLB Pipeline,,10,30,5,,-5,,694410,230662,Arizona Diamondbacks,1,mlbam
ifa_801179,2025-01-01,MLB Pipeline,,11,30,4,13,-7,2,801179,284199,Arizona Diamondbacks,1,mlbam
draft_2024_jd_dix_r1p35,2025-01-01,MLB Pipeline,,12,30,,,,,807267,331434,Arizona Diamondbacks,1,mlbam
ifa_691441,2025-01-01,MLB Pipeline,,13,30,11,,-2,,691441,237092,Arizona Diamondbacks,1,mlbam
ifa_800198,2025-01-01,MLB Pipeline,,14,30,7,18,-7,4,800198,242031,Arizona Diamondbacks,1,mlbam
ifa_807957,2025-01-01,MLB Pipeline,,15,30,,,,,807957,291266,Arizona Diamondbacks,1,mlbam
draft_2024_daniel_eagen_r3p102,2025-01-01,MLB Pipeline,,16,30,,,,,811666,242245,Arizona Diamondbacks,1,mlbam
ifa_808054,2025-01-01,MLB Pipeline,,17,30,,,,,808054,291351,Arizona Diamondbacks,1,mlbam
draft_2022_spencer_giesting_r11p318,2025-01-01,MLB Pipeline,,18,30,,,,,801517,230672,Arizona Diamondbacks,1,mlbam
ifa_692544,2025-01-01,MLB Pipeline,,19,30,,29,,10,692544,236965,Arizona Diamondbacks,1,mlbam
draft_2022_dylan_ray_r4p108,2025-01-01,MLB Pipeline,,20,30,9,25,-11,5,691009,229868,Arizona Diamondbacks,1,mlbam
ifa_678489,2025-01-01,MLB Pipeline,,21,30,12,15,-9,-6,678489,216369,Arizona Diamondbacks,1,mlbam
ifa_815895,2025-01-01,MLB Pipeline,,22,30,19,,-3,,815895,316870,Arizona Diamondbacks,1,mlbam
draft_2024_connor_foley_r5p164,2025-01-01,MLB Pipeline,,23,30,,,,,805879,295491,Arizona Diamondbacks,1,mlbam
draft_2021_gavin_conticello_r8p228,2025-01-01,MLB Pipeline,,24,30,,,,,695521,237291,Arizona Diamondbacks,1,mlbam
draft_2021_tim_tawa_r11p318,2025-01-01,MLB Pipeline,,25,30,,,,,694374,212290,Arizona Diamondbacks,1,mlbam
ifa_809109,2025-01-01,MLB Pipeline,,26,30,,,,,809109,220954,Arizona Diamondbacks,1,mlbam
ifa_800569,2025-01-01,MLB Pipeline,,27,30,,,,,800569,244339,Arizona Diamondbacks,1,mlbam
draft_2024_ivan_luciano_r2p64,2025-01-01,MLB Pipeline,,28,30,,,,,813930,341574,Arizona Diamondbacks,1,mlbam
ifa_829066,2025-01-01,MLB Pipeline,,29,30,,,,,829066,344895,Arizona Diamondbacks,1,mlbam
draft_2019_blake_walston_r1p26,2025-01-01,MLB Pipeline,,30,30,27,8,-3,-22,686796,222143,Arizona Diamondbacks,1,mlbam
draft_2021_jordan_lawlar_r1p6,2024-01-01,Baseball America,7,1,30,3,2,2,1,691783,230561,Arizona Diamondbacks,1,mlbam
draft_2022_druw_jones_r1p2,2024-01-01,Baseball America,,2,30,4,,2,,702258,284647,Arizona Diamondbacks,1,mlbam
draft_2023_tommy_troy_r1p12,2024-01-01,Baseball America,,3,30,,,,,694371,229473,Arizona Diamondbacks,1,mlbam
draft_2022_ivan_melendez_r2p43,2024-01-01,Baseball America,,4,30,13,,9,,699471,229695,Arizona Diamondbacks,1,mlbam
draft_2023_gino_groover_r2p48,2024-01-01,Baseball America,,5,30,,,,,694410,230662,Arizona Diamondbacks,1,mlbam
ifa_800306,2024-01-01,Baseball America,,6,30,,,,,800306,242026,Arizona Diamondbacks,1,mlbam
ifa_801179,2024-01-01,Baseball America,,7,30,19,,12,,801179,284199,Arizona Diamondbacks,1,mlbam
draft_2022_dylan_ray_r4p108,2024-01-01,Baseball America,,8,30,20,,12,,691009,229868,Arizona Diamondbacks,1,mlbam
ifa_800185,2024-01-01,Baseball America,,9,30,18,,9,,800185,242030,Arizona Diamondbacks,1,mlbam
draft_2023_jack_hurley_r3p80,2024-01-01,Baseball America,,10,30,,,,,694815,231009,Arizona Diamondbacks,1,mlbam
draft_2019_blake_walston_r1p26,2024-01-01,Baseball America,,11,30,9,5,-2,-6,686796,222143,Arizona Diamondbacks,1,mlbam
draft_2018_blaze_alexander_r11p339,2024-01-01,Baseball America,,12,30,12,,0,,677942,216042,Arizona Diamondbacks,1,mlbam
ifa_700270,2024-01-01,Baseball America,,13,30,27,,14,,700270,238263,Arizona Diamondbacks,1,mlbam
draft_2023_caden_grice_r2p64,2024-01-01,Baseball America,,14,30,,,,,694364,231080,Arizona Diamondbacks,1,mlbam
draft_2020_slade_cecconi_r1p33,2024-01-01,Baseball America,,15,30,14,12,-1,-3,677944,216016,Arizona Diamondbacks,1,mlbam
ifa_800198,2024-01-01,Baseball America,,16,30,21,,5,,800198,242031,Arizona Diamondbacks,1,mlbam
draft_2020_aj_vukovich_r4p119,2024-01-01,Baseball America,,17,30,11,9,-6,-8,691021,228453,Arizona Diamondbacks,1,mlbam
ifa_815895,2024-01-01,Baseball America,,18,30,,,,,815895,316870,Arizona Diamondbacks,1,mlbam
ifa_807957,2024-01-01,Baseball America,,19,30,,,,,807957,291266,Arizona Diamondbacks,1,mlbam
draft_2023_grayson_hitt_r4p112,2024-01-01,Baseball America,,20,30,,,,,694491,229870,Arizona Diamondbacks,1,mlbam
draft_2022_landon_sims_r1p34,2024-01-01,Baseball America,,21,30,10,,-11,,683085,226150,Arizona Diamondbacks,1,mlbam
draft_2019_dominic_fletcher_r2p75,2024-01-01,Baseball America,,22,30,17,,-5,,666150,207887,Arizona Diamondbacks,1,mlbam
ifa_678489,2024-01-01,Baseball America,,23,30,16,,-7,,678489,216369,Arizona Diamondbacks,1,mlbam
draft_2021_caleb_roberts_r5p138,2024-01-01,Baseball America,,24,30,,,,,681134,221772,Arizona Diamondbacks,1,mlbam
ifa_806869,2024-01-01,Baseball America,,25,30,,,,,806869,291348,Arizona Diamondbacks,1,mlbam
draft_2020_bryce_jarvis_r1p18,2024-01-01,Baseball America,,26,30,,11,,-15,686826,213907,Arizona Diamondbacks,1,mlbam
ifa_692416,2024-01-01,Baseball America,,27,30,,,,,692416,237628,Arizona Diamondbacks,1,mlbam
ifa_806979,2024-01-01,Baseball America,,28,30,29,,1,,806979,291331,Arizona Diamondbacks,1,mlbam
draft_2021_adrian_del_castillo_r2p67,2024-01-01,Baseball America,,29,30,,19,,-10,680728,215815,Arizona Diamondbacks,1,mlbam
ifa_677565,2024-01-01,Baseball America,,30,30,,13,,-17,677565,215616,Arizona Diamondbacks,1,mlbam
draft_2021_jordan_lawlar_r1p6,2024-01-01,ESPN,17,1,30,,,,,691783,230561,Arizona Diamondbacks,1,mlbam
draft_2023_tommy_troy_r1p12,2024-01-01,ESPN,67,2,30,,,,,694371,229473,Arizona Diamondbacks,1,mlbam
draft_2022_druw_jones_r1p2,2024-01-01,ESPN,100,3,30,,,,,702258,284647,Arizona Diamondbacks,1,mlbam
