oof,cal,event,h,slice,n,ece,brier,logloss,ratio,top_n,top_pred,top_actual,top_gap
single,iso,MLB_DEBUT,6,yip<=3,17696,0.009086593847056134,0.07563378826612183,0.24938600077410356,0.9540713814913477,490,0.8075340939820999,0.7979591836734694,-0.009574910308630447
single,iso,ESTABLISHED_MLB,1,all,45887,2.212477911192221e-05,8.098406656964838e-05,0.0005054527535946457,0.7461900652228065,0,,,
single,iso,ESTABLISHED_MLB,1,yip<=3,19535,0.00010785839600739136,0.00018980858141453186,0.0011311874681885622,0.47324655849890246,0,,,
single,iso,ESTABLISHED_MLB,3,all,42591,0.0016577754206978596,0.004879798168995582,0.019980406854691535,0.7462367035384092,1,0.7365728900255755,1.0,0.26342710997442453
single,iso,ESTABLISHED_MLB,3,yip<=3,19518,0.00293562834823431,0.008214764032314937,0.031738622566392344,0.738253778477097,1,0.7365728900255755,1.0,0.26342710997442453
single,iso,ESTABLISHED_MLB,6,all,35658,0.002565511676403361,0.01729027817831078,0.06558176613807129,0.9038632516965774,22,0.7485468495698675,0.6363636363636364,-0.11218321320623115
single,iso,ESTABLISHED_MLB,6,yip<=3,17696,0.004533496288506141,0.029148549336876318,0.10853237741100534,0.8979590971536935,20,0.7497442455242967,0.7,-0.04974424552429679
single,iso,STAR_PLUS_ELITE,1,all,45887,2.7073723539948885e-05,8.348753265392723e-05,0.0004128431729654595,0.6894170119805914,0,,,
single,iso,STAR_PLUS_ELITE,1,yip<=3,19535,8.40443646404766e-05,0.00019607653556866602,0.0009492879745752861,0.5895483341870724,0,,,
single,iso,STAR_PLUS_ELITE,3,all,42591,0.0002334327833073166,0.000792603000648096,0.004008935293262831,0.7238295646155022,0,,,
single,iso,STAR_PLUS_ELITE,3,yip<=3,19518,0.0004731727168960564,0.0015295614237583813,0.007507501697480339,0.7113942159882117,0,,,
single,iso,STAR_PLUS_ELITE,6,all,35658,0.0002719469003863747,0.0037055499823427495,0.017099415171351783,0.9335816262056345,0,,,
single,iso,STAR_PLUS_ELITE,6,yip<=3,17696,0.0007011773630541588,0.006531153319050492,0.02928552124359361,0.9647571193279137,0,,,
bagmatched,hyip2,TOP_100_PROSPECT,1,all,45520,0.00030343416541069506,0.0019536578407551744,0.007711022720212471,0.9787824918582729,20,0.8376794032609058,0.95,0.11232059673909411
bagmatched,hyip2,TOP_100_PROSPECT,1,yip<=3,19353,0.0007605084370790076,0.004336324897841794,0.01694286845613659,0.9748966748698947,19,0.833804795316309,0.9473684210526315,0.1135636257363225
bagmatched,hyip2,TOP_100_PROSPECT,3,all,42236,0.0013329493836652603,0.005162836223594228,0.02059832395210963,0.9321213334241039,68,0.8036465127231115,0.7647058823529411,-0.03894063037017037
bagmatched,hyip2,TOP_100_PROSPECT,3,yip<=3,19336,0.002999739869650842,0.010905056212426356,0.043102650360162545,0.9186902941489345,66,0.8031137605408505,0.7575757575757576,-0.045538002965092916
bagmatched,hyip2,TOP_100_PROSPECT,6,all,35351,0.0015798806523556073,0.007058287110092041,0.027986102937545974,0.9389338448958827,70,0.8047047747906451,0.7571428571428571,-0.047561917647787944
bagmatched,hyip2,TOP_100_PROSPECT,6,yip<=3,17531,0.0034039248168855098,0.01394606918986304,0.055062359491394194,0.9194578706534963,68,0.8042188171451428,0.75,-0.05421881714514276
bagmatched,hyip2,MLB_DEBUT,1,all,45887,0.0018337304246277444,0.011772145599455363,0.04323586272524722,0.9428375174169801,89,0.7820092881360089,0.6853932584269663,-0.0966160297090426
bagmatched,hyip2,MLB_DEBUT,1,yip<=3,19535,0.0014324756385368407,0.014671530058388229,0.05322084961332585,0.9752812623142226,60,0.7817737882019209,0.6833333333333333,-0.09844045486858755
bagmatched,hyip2,MLB_DEBUT,3,all,42591,0.005390714978501528,0.03093682337119829,0.10723112870216307,0.945272851444769,413,0.818783057310591,0.7602905569007264,-0.058492500409864534
bagmatched,hyip2,MLB_DEBUT,3,yip<=3,19518,0.008315206342929093,0.04705882443823378,0.16068434767357276,0.9401165473615566,304,0.8193502699334073,0.7631578947368421,-0.05619237519656517
bagmatched,hyip2,MLB_DEBUT,6,all,35658,0.0065885862004247675,0.04759024979815546,0.15898687376941267,0.9699808822031604,654,0.815788444867413,0.7874617737003058,-0.028326671167107187
bagmatched,hyip2,MLB_DEBUT,6,yip<=3,17696,0.01169711101889912,0.07571599616597667,0.24975051867734452,0.954492819562838,540,0.8143589372321984,0.7870370370370371,-0.02732190019516134
bagmatched,hyip2,ESTABLISHED_MLB,1,all,45887,4.736179018768191e-05,8.064200381999501e-05,0.0005187549354153485,1.1184194211488634,0,,,
bagmatched,hyip2,ESTABLISHED_MLB,1,yip<=3,19535,7.035489549471682e-05,0.00018894628585547308,0.0011236884265035123,0.6564042791276765,0,,,
bagmatched,hyip2,ESTABLISHED_MLB,3,all,42591,0.0015629620635455317,0.00486438855731896,0.01986464985562254,0.7837749672524713,4,0.7244623697992018,1.0,0.27553763020079824
bagmatched,hyip2,ESTABLISHED_MLB,3,yip<=3,19518,0.002763588464319717,0.008179995687841385,0.03161583837678286,0.775548717706265,4,0.7244623697992018,1.0,0.27553763020079824
bagmatched,hyip2,ESTABLISHED_MLB,6,all,35658,0.00289694230964176,0.017271221965519695,0.06558475460775345,0.9141657444556798,26,0.7470119560840718,0.6923076923076923,-0.05470426377637949
bagmatched,hyip2,ESTABLISHED_MLB,6,yip<=3,17696,0.00526186049142624,0.029129788867079304,0.10856758350593629,0.910002696168232,24,0.7479776271040475,0.75,0.002022372895952529
bagmatched,hyip2,STAR_PLUS_ELITE,1,all,45887,5.2639676687944525e-06,8.356623989534539e-05,0.0004461025813737837,0.9396130788955073,0,,,
bagmatched,hyip2,STAR_PLUS_ELITE,1,yip<=3,19535,5.154728607279318e-05,0.00019626946692535277,0.0010086839106852638,0.7482559416419963,0,,,
bagmatched,hyip2,STAR_PLUS_ELITE,3,all,42591,0.00025360666143145477,0.0007870428563038125,0.003976489775351252,0.6999621856381363,0,,,
bagmatched,hyip2,STAR_PLUS_ELITE,3,yip<=3,19518,0.000529110120700382,0.0015172535781816264,0.0074513029894422884,0.6772758957553107,0,,,
bagmatched,hyip2,STAR_PLUS_ELITE,6,all,35658,0.0006423020992173055,0.003713189735800451,0.01698156594539592,0.9368306963986684,0,,,
bagmatched,hyip2,STAR_PLUS_ELITE,6,yip<=3,17696,0.0009656363492576889,0.006543638312128269,0.029049187992866887,0.9668572398172954,0,,,
bagmatched,spline,TOP_100_PROSPECT,1,all,45520,0.0003127914231261656,0.0019533707313937436,0.007707172769239413,0.9852943897086984,21,0.8358434008812953,0.9523809523809523,0.11653755149965705
bagmatched,spline,TOP_100_PROSPECT,1,yip<=3,19353,0.0007874963902302405,0.004335982499988922,0.016932813620179395,0.9807409373325437,20,0.8317797144235077,0.95,0.11822028557649222
bagmatched,spline,TOP_100_PROSPECT,3,all,42236,0.0013198269847785298,0.005162255864823738,0.02059085997820508,0.9338391920153314,68,0.8076329930806866,0.7647058823529411,-0.042927110727745466
bagmatched,spline,TOP_100_PROSPECT,3,yip<=3,19336,0.0029448303879961064,0.010904018371142321,0.04308487134391851,0.9199995734940155,66,0.8070533426492034,0.7575757575757576,-0.049477585073445796
