scorer,event,h,n,pos,base,auc,ap,brier,calib
E+F,TOP_100_PROSPECT,10,13404,256,0.019098776484631454,0.975959687309857,0.607887467197725,0.011400134255350615,0.879665851934476
E+F,MLB_DEBUT,1,23864,650,0.027237680187730474,0.9687926715311052,0.5318443687703908,0.017631417978495705,1.04022651968122
E+F,MLB_DEBUT,2,23192,1281,0.05523456364263539,0.9604803564316379,0.6384303117553541,0.030800637195424887,0.9770923683203397
E+F,MLB_DEBUT,3,22409,1852,0.08264536570128074,0.9504320994010123,0.6841045812153795,0.04298468536036466,0.9630218892138063
E+F,MLB_DEBUT,4,21482,2252,0.10483195233218509,0.9442705345869253,0.7028262675167356,0.05260140798488443,0.9540136202066318
E+F,MLB_DEBUT,5,20398,2456,0.12040396117266398,0.9409100333067427,0.713266428768179,0.05893532266493006,0.9485102214023722
E+F,MLB_DEBUT,6,19155,2508,0.13093187157400157,0.9395637450277452,0.7241448301510672,0.0627319158348595,0.9537919974861615
E+F,MLB_DEBUT,7,17790,2463,0.13844856661045532,0.9379204210307593,0.7288107081643884,0.06569894013928251,0.9422024410745325
E+F,MLB_DEBUT,8,16407,2362,0.1439629426464314,0.9360156464539255,0.7280404296447868,0.06828657991121952,0.9344163665701595
E+F,MLB_DEBUT,9,15013,2238,0.14907080530207154,0.9337902341516136,0.7260536921478777,0.07086767158481608,0.9261312192714574
E+F,MLB_DEBUT,10,13617,2100,0.1542189909671734,0.9308789904778444,0.7235509312745919,0.07361407571878811,0.9285808900084624
E+F,ESTABLISHED_MLB,1,23864,6,0.00025142474019443513,0.9811593595439685,0.13187871418122002,0.00024033430636220934,1.5577571667135999
E+F,ESTABLISHED_MLB,2,23192,74,0.003190755432907899,0.9703986363732017,0.24285634914667167,0.0027667276624777468,0.911887282908931
E+F,ESTABLISHED_MLB,3,22409,238,0.010620732741309296,0.968170151105862,0.3429853879039435,0.008371563989939178,0.9481206838544792
E+F,ESTABLISHED_MLB,4,21482,446,0.020761567824224933,0.9589277659395765,0.4131645782104528,0.0153659528571011,0.8844650471841092
E+F,ESTABLISHED_MLB,5,20398,640,0.03137562506128052,0.9502043871469784,0.44527898367475566,0.02236265924829819,0.8805809456812056
