key_fangraphs,key_mlbam,name_first,name_last
1010343,120573,Sandy,Piez
1013074,123352,Ron,Tingley
1005680,115796,Chuck,Hensley
1008881,119061,Charlie,Miller
13360,592135,Cam,Bedrosian
5842,451532,Chad,Billingsley
-1,492653,George,Huff
1012318,122585,Ben,Spencer
1008880,119062,Chuck,Miller
1008418,118599,Mike,McCormick
1012528,122783,Sammy,Stewart
-1,816429,Maurice,Young
1004220,114301,Gene,Ford
1014365,124687,Charlie,Young
-1,-1,Randy,Christal
1012458,122714,Morrie,Steevens
173,502161,Scott,Cousins
-1,817601,Ulysses,Redd
-1,817377,Raúl,Sánchez
799,150067,Chris,Truby
1001114,111142,George,Boehler
-1,819025,Robert,Higbee
1007888,118054,Terry,Lyons
1681,117420,Tim,Laker
-1,817326,Joe,Scott
26288,668939,Adley,Rutschman
1001894,111942,Cardell,Camper
5666,519023,Devin,Mesoraco
9952,572204,Trayce,Thompson
1001168,111199,Bobby,Bonilla
1008052,118227,Carl,Manda
1003205,113267,Brian,Denman
1009765,119973,Charley,O'Leary
1010083,120311,Gil,Paulsen
12214,594940,Daniel,Muno
-1,818818,Wendell,Jenkins
-1,820366,Sidney,Brooks
1279,121955,Rudy,Seánez
1005426,115533,Ned,Harris
-1,816770,Edsall,Walker
-1,820154,Bill,Carter
1002154,112207,Harry,Chappas
1005365,115478,Spec,Harkness
973,400067,Carlos,Silva
-1,-1,Emilien,Cote
1013002,123275,Bobby,Thompson
-1,818532,,Lee
13649,605280,Clay,Holmes
1003680,113746,Paul,Edmondson
1013109,123386,George,Tomer
-1,820591,Fred,Barnes
-1,-1,Fred,Jevne
1008291,118468,Carlos,May
1013948,124258,Spider,Wilhelm
1011228,121482,Joe,Rosselli
-1,-1,J.,Miller
1008030,118201,Jule,Mallonee
1443,407885,Mark,Ellis
1014428,124754,Rollie,Zeider
7216,527049,César,Puello
-1,819144,Wilmer,Harris
1013096,123373,Jackson,Todd
-1,820563,Rufus,Battle
1013263,123547,Frenchy,Uhalt
1003641,113710,Paul,Easterling
1008704,118889,Johnny,Meador
29794,700932,Kyle,Manzardo
-1,819305,Bob,Graves
-1,427108,Dana,DeMuth
1005049,115145,Pat,Griffin
-1,-1,Roy,Nicely
1008018,118193,Tony,Malinosky
1001534,111565,Keith,Brown
1006649,116791,George,Jumonville
1010168,120392,Henry,Peploski
25071,682010,Lane,Ramsey
1000361,110375,Rich,Aude
-1,819009,Pete,Hill
-1,-1,Cy,Pfirman
1012871,123136,Fred,Taylor
15640,592450,Aaron,Judge
1006864,117011,Orie,Kerlin
1004822,114911,Leo,Gómez
1004702,114788,Brian,Giles
1013248,123532,George,Twombly
-1,819016,Lee,Hill
1012733,122994,Butch,Sutcliffe
1007257,117412,Jeff,Lahti
1012878,123145,Jack,Taylor
4721,493547,Mickey,Storey
-1,816669,Edgar,Wesley
1012248,137204,Jack,Snyder
50,400090,Alex,Cintrón
1007691,117852,Ron,Locke
1005348,115461,Alex,Hardy
19482,607755,Andrew,Vasquez
1322,122784,Shannon,Stewart
1006202,116333,Herb,Hunter
-1,-1,Jim,Knauss
1013867,124166,Ed,White
-1,-1,Charlie,Morris
1009620,119825,Dickie,Noles
1120,134002,Ramón,Martínez
1011445,121700,Nelson,Santovenia
1000330,110343,Harry,Arundel
1011868,122127,John,Sheppard
1009760,119968,Dave,Oldfield
1007712,117875,Mickey,Lolich
1009080,119276,Eric,Moody
1007612,117776,Vive,Lindaman
6893,456501,Johnny,Cueto
1001049,111078,Homer,Blankenship
1020,150150,Jason,Boyd
1572,424825,Coco,Crisp
1011601,121853,Dick,Schofield
1014362,124685,Anthony,Young
1068,111232,Pat,Borders
9920,476011,Matt,Maloney
1004001,114074,Sid,Fernandez
-1,820584,Vet,Barnes
1001092,111122,Jim,Bluejacket
1160,276529,Kevin,Joseph
9817,489265,Sergio,Romo
1001446,111483,Tilson,Brito
5496,501317,Francisco,Peguero
1001942,111986,Rod,Carew
1004004,114084,Bill,Ferrazzi
-1,816851,Faustino,Valdés
2126,425663,Derek,Thompson
1006747,116891,Willie,Keeler
1012069,122329,Heathcliff,Slocumb
1001855,111899,Jack,Calvo
1002060,112111,Carlos,Castillo
-1,594151,Ramon,De Jesus
-1,816916,,Tomm
1000532,110552,Turner,Barber
1003361,113423,Cozy,Dolan
1013323,123615,Bob,Valentine
1013284,123568,Tim,Unroe
13723,607732,Jacob,Stallings
25459,680814,Peyton,Burdick
1005613,115728,,Hellings
7872,475115,Tyson,Ross
1012770,123043,Bill,Sweeney
