player_id,name,bucket,draft_year,draft_round,primary_position,current_org,cur_level_2026,age_at_snap,years_in_pro,p_TOP_100_PROSPECT,p_MLB_DEBUT,p_ESTABLISHED_MLB,p_STAR_PLUS_ELITE,time_to_debut,passes_filter,ebay_price_median,ebay_price_p25,ebay_n_listings,ebay_top_listing_url
draft_2025_brian_curley_r3p92,Brian Curley,R2-R3,2025.0,3.0,RHP,Arizona Diamondbacks,A+,22.0,1,0.060308088,0.59129137,0.14459163,0.031111754,2.4355420232012706,True,,,,
draft_2024_fenwick_trimble_r4p122,Fenwick Trimble,R4-R10,2024.0,4.0,OF,Miami Marlins,AA,22.0,2,0.05870909,0.5904903,0.17473118,0.038451213,2.5335919797807334,True,15.0,14.97,11.0,https://www.ebay.com/itm/297643860211?_skw=%22Fenwick+Trimble%22+1st+Bowman+Chrome+auto&hash=item454cf4e0f3:g:~~wAAeSwQdFo2U0t
ifa_821100,Justin Gonzales,IFA,,,OF,,A+,20.0,2,0.25204006,0.58869493,0.21797638,0.08682467,3.216263519559491,True,199.99,199.99,1.0,https://www.ebay.com/itm/188384147246?_skw=%22Justin+Gonzales%22+1st+Bowman+Chrome+auto&hash=item2bdc91f72e:g:gaoAAeSwO0dqBn0Q
draft_2022_bryan_rincon_r14p422,Bryan Rincon,R10+,2022.0,14.0,SS,Philadelphia Phillies,AA,22.0,4,0.095826454,0.5883969,0.021002056,0.0074696597,1.9977874809975582,True,15.0,13.575,3.0,https://www.ebay.com/itm/127698461909?_skw=%22Bryan+Rincon%22+1st+Bowman+Chrome+auto&hash=item1dbb6be4d5:g:3GQAAeSw9ZFpltV2
ifa_806985,Yoeilin Cespedes,IFA,,,SS,,A+,21.0,3,0.16944392,0.58819884,0.12809412,0.020872256,2.736382624442601,True,41.995000000000005,30.2425,6.0,https://www.ebay.com/itm/236588686298?_skw=%22Yoeilin+Cespedes%22+1st+Bowman+Chrome+auto&hash=item3715c8dbda:g:idsAAeSw9d9pbRkZ
draft_2025_james_ellwanger_r3p88,James Ellwanger,R2-R3,2025.0,3.0,RHP,Minnesota Twins,A,22.0,1,0.17194918,0.5855041,0.15903689,0.023218522,2.862287418761465,True,,,,
draft_2022_pete_hansen_r3p97,Pete Hansen,R2-R3,2022.0,3.0,LHP,St. Louis Cardinals,AAA,26.0,4,0.0014580999,0.58440125,0.0042063785,0.0004866542,1.9063667872564891,True,,,,
draft_2024_eddie_micheletti_jr_r8p247,Eddie Micheletti Jr.,R4-R10,2024.0,8.0,OF,Toronto Blue Jays,AA,22.0,2,0.055164803,0.5803701,0.21145163,0.038314253,2.7072974864966852,True,,,,
ifa_694196,Diego Velasquez,IFA,,,SS,,AA,23.0,5,0.0020566697,0.5780128,0.07322319,0.0048018503,3.0735167241436026,True,9.95,2.74,7.0,https://www.ebay.com/itm/166794914029?_skw=%22Diego+Velasquez%22+1st+Bowman+Chrome+auto&hash=item26d5c068ed:g:5-oAAOSwOPJoTodU
draft_2024_matt_halbach_r10p302,Matt Halbach,R4-R10,2024.0,10.0,3B,Chicago Cubs,A+,22.0,2,0.09712487,0.5772231,0.2044249,0.07405026,3.114109466390583,True,,,,
